creaturename,nametotype,bodyid,hues,notoriety,slayers,oppositeslayers,barddiff,physical,fire,cold,poison,energy,hitpoints,stamina,mana,str,dex,int,wrestling,tactics,resspell,anatomy,poisoning,healing,magery,evalint,meditation,tamable,halfstat,eightstat,isboss,ismount,location,specials,damage,slots,multislot,isneutral,innatemagery,innatenecro,innatepoisoning,innatemysticism,
fire beetle,,169,0-1161,4,Beetle-Flame,None,84,40-40,70-75,10-10,30-30,30-30,200-200,100-100,500-500,300-300,100-100,500-500,100-100,100-100,90-90,0-0,0-0,0-0,0-0,0-0,0-0,93.9,true,,,true,,,7-20,1-5,,,,,,,
fire daemon,,9,1636,4,Demon,Elemental-Fey,144,45-60,100-100,-10-0,20-30,30-40,1050-1180,120-140,330-370,500-540,120-140,330-370,40-80,80-100,95-105,75-85,0-0,0-0,90-100,90-105,90-105,,,,,,,,,,,,,,,,
fire daemon,,9,0,4,Demon,Elemental-Fey,160,64-64,68-68,92-92,91-91,82-82,1390-1390,695-695,695-695,478-478,239-239,239-239,157.1-157.1,157.1-157.1,151.3-151.3,157.1-157.1,0-0,0-0,151.3-151.3,151.3-151.3,151.3-151.3,,,,,,covetous,,,,,,,,,,
fire daemon renowned,,40,243,4,Demon,Elemental-Fey,160,65-80,60-75,50-60,100-100,40-50,1185-1345,195-240,160-230,1000-1115,195-240,160-230,90-100,90-100,125-145,40-50,0-0,0-0,90-100,90-100,25-50,,,,true,,,,,,,,,,,,
fire elemental,,15,0,4,Elemental-Fire Elemental-Fire,Demon,74.5,35-45,60-80,5-10,30-40,30-40,75-95,165-185,100-125,125-155,165-185,100-125,70-100,80-100,75-105,0-0,0-0,0-0,60-75,65-75,0-0,,,,,,,,,,,,,,,,
fire elemental (summoned),,15,0,,Elemental-Fire Elemental-Fire,Demon,84.3,50-60,70-80,0-10,50-60,50-60,200-200,200-200,100-100,200-200,200-200,100-100,90-95,100-100,85-85,0-0,0-0,0-0,90-90,90-90,0-0,,,,,,,,,,,,,,,,
fire elemental renowned,,15,1161,7,Elemental-Fire Elemental,Demon,160,45-55,80-90,5-10,40-50,40-50,1375-1410,175-210,310-340,430-490,175-210,310-340,95-115,95-115,95-125,0-0,0-0,0-0,95-115,95-115,0-0,,,,true,,,,,,,,,,,,
fire gargoyle,,130,0,4,Demon-Gargoyle,Elemental-Fey,96,30-35,50-60,-10-0,20-30,20-30,210-240,125-145,225-250,350-400,125-145,225-250,40-80,80-100,90-105,75-85,0-0,0-0,90-105,95-105,90-105,,,,,,,,,,,,,,,,
fire rabbit,,205,1161,4,None,None,Immune,45-50,100-100,40-40,45-50,45-50,2500-2500,1500-1500,1500-1500,130-130,4500-4500,2500-2500,80-80,0-10,200-200,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
fire steed,,190,1161,4,Flame,None,83.6,30-40,70-80,20-30,30-40,30-40,226-240,91-120,291-300,376-400,91-120,291-300,100-100,100-100,100-120,0-0,0-0,0-0,0-0,0-0,0-0,106,,,,true,,1157414,11-30,2-5,,,,,,,
flame elemental,,15,1161,7,Elemental-Fire Elemental-Flame,Demon,130,45-55,100-100,30-40,60-70,60-70,700-800,165-185,1000-1300,420-460,165-185,120-210,90-120,90-110,100-120,0-0,0-0,0-0,100-120,100-125,80-100,,,,,,,,,,,,,,,,
flame elemental guardian,,15,1161,7,Elemental-Fire Elemental,Demon,130,45-55,100-100,30-40,60-70,60-70,700-800,165-185,1000-1300,420-460,165-185,120-210,90-120,90-110,100-120,0-0,0-0,0-0,100-120,100-125,80-100,,,,true,,,,,,,,,,,,
flesh golem,,304,0,7,Undead,Repond,57,50-60,25-35,15-25,60-70,30-40,105-120,50-75,45-70,175-200,50-75,45-70,60-70,55-80,50-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
fleshrenderer,,315,0,4,None,None,160,80-90,50-60,50-60,100-100,70-80,4500-4500,200-210,220-260,400-460,200-210,220-260,90-100,100-100,155-160,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
flurry,,13,3,4,Elemetal-Air Elemental,Demon,107.1,45-55,35-45,30-40,30-40,50-60,450-610,230-270,140-180,150-240,230-270,140-180,95-110,95-110,95-110,0-0,0-0,0-0,95-110,95-115,20-50,,,,,,,,,,,,,,,,
forest ostard,,219,SlimeHue,4,Bird,None,31.6,15-20,0-0,0-0,0-0,0-0,70-90,55-75,0-0,90-170,55-75,5-10,25-45,25-45,25-35,0-0,0-0,0-0,0-0,0-0,0-0,29.1,,,,true,,,8-14,1-3,,,,,,,
forgotten servant,,400-401,SkinHue,2,None,None,105,70-80,70-80,40-50,50-60,40-50,700-750,0-0,0-0,0-0,0-0,0-0,110-120,100-110,90-100,0-0,0-0,0-0,50-60,40-50,35-40,,,,,,,,,,,,,,,,
frenzied ostard,,218,HairHue,4,Bird,None,56.2,25-30,10-15,0-0,20-25,20-25,70-110,95-115,0-0,90-170,95-115,5-10,75-95,75-95,75-80,0-0,0-0,0-0,0-0,0-0,0-0,77.1,,,,true,,,11-17,1-3,,,,,,,
frost dragon,,12-59,BlueHue,4,Reptile-Dragon,Arachnid,160,70-90,55-60,80-90,65-70,55-75,1490-2430,88-142,490-688,1030-1284,95-125,495-688,120-140,120-137,110-137,0-0,0-0,0-0,115-135,45-60,0-35,105,true,,,,,1075829-1157414-1002106,24-33,5-5,,,true,,,,
frost drake,,1419-1420,33922,4,None,Arachnid,80.6,45-50,40-50,50-60,20-30,30-40,240-260,150-150,301-360,400-430,160-182,301-360,65-80,65-90,65-80,0-0,0-0,0-0,0-0,0-0,0-0,85,,,,,,1157402,17-25,2-5,,,,,,,
frost mite,,1424,0,4,None,None,119.9,50-65,15-25,85-95,50-65,40-55,800-1000,150-170,250-290,1000-1025,150-170,250-290,100-120,100-110,75-90,55-60,0-0,0-0,0-0,0-0,0-0,102,true,,,,,1157402,21-28,2-5,4254,,,,,,
frost ooze,,94-96,0,4,Ice,None,14.5,15-20,0-0,40-50,20-30,10-20,10-20,15-25,15-20,15-30,15-25,15-20,25-40,15-35,5-10,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
frost spider,,20,0-1154,4,Arachnid-Spider-Ice,Reptile,45.4,25-30,5-10,40-50,20-30,10-20,46-60,126-144,0-0,76-100,126-144,36-60,50-65,35-50,25-40,0-0,0-0,0-0,0-0,0-0,0-0,74.7,,,,,,,6-16,1-4,,,,,,,
frost troll,,55,0,4,Repond-Troll-Ice,Undead,67.7,45-55,0-0,40-50,5-10,5-10,140-160,65-85,45-70,225-265,65-85,45-70,80-100,80-100,65-80,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
gallusaurus,,1286,0,4,Dinosaur-Eodon-Reptile,Myrmidex,160,50-60,20-30,20-30,60-70,20-30,751-790,150-150,144-288,473-514,141-170,144-258,40-60,40-60,25-40,0-0,0-0,0-0,0-0,0-0,0-0,102,,,,,,1028853-1157400,11-17,4-5,,,,,,,
gaman,,248,0,4,Bovine,None,59.1,50-70,30-50,30-50,40-60,30-50,130-160,115-145,0-0,145-175,115-145,45-60,50-60,70-85,35-45,0-0,0-0,0-0,0-0,0-0,0-0,68.7,,,,,,,6-11,1-4,,true,,,,,
gargoyle,,4,0,4,Demon-Gargoyle,Elemental-Fey,72.5,30-35,25-35,5-10,15-25,0-0,85-105,75-95,80-105,145-175,75-95,80-105,40-80,50-70,70-85,0-0,0-0,0-0,70-85,75-85,0-0,,,,,,,,,,,,,,,,
gargoyle assassin,,4,0,4,Demon,Elemental-Fey,140,64-64,68-68,92-92,91-91,82-82,346-346,1043-1043,695-695,119-119,359-359,239-239,157.1-157.1,157.1-157.1,151.3-151.3,157.1-157.1,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
gargoyle destroyer,,755,0,4,Demon-Gargoyle,Elemental-Fey,110.8,40-60,60-70,15-25,15-25,15-25,480-485,100-150,150-200,760-850,100-150,150-200,90-100,90-100,120-160,50-100,0-0,0-0,90-100,95-100,90-100,,,,,,,,,,,,,,,,
gargoyle enforcer,,754,0,4,Demon-Gargoyle,Elemental-Fey,88,40-60,50-60,20-30,25-35,15-25,180-185,75-95,100-125,260-350,75-95,100-125,80-90,70-80,120-130,70-80,0-0,0-0,80-90,85-100,70-100,,,,,,,,,,,,,,,,
gargoyle shade,,4,16385,4,Demon-Gargoyle,Elemental-Fey,68,40-55,35-45,15-20,25-35,0-0,60-80,75-95,40-65,75-105,75-95,40-65,40-50,40-60,50-65,0-0,0-0,0-0,50-65,50-65,0-0,,,,,,,,,,,,,,,,
gazer,,22,0,4,None,None,73.3,35-40,40-50,20-30,10-20,20-30,55-75,85-105,140-165,95-125,85-105,140-165,50-70,50-70,60-75,0-0,0-0,0-0,50-65,55-65,0-0,,,,,,,,,,,,,,,,
gazer larva,,778,0,4,None,None,56.7,15-25,0-0,0-0,0-0,0-0,35-50,50-75,55-80,75-100,50-75,55-80,70-70,70-70,70-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ghoul,,153,0,4,Undead,Repond,41.5,25-30,0-0,20-30,5-10,10-20,45-60,75-95,35-60,75-100,75-95,35-60,45-55,45-60,45-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
giant beetle,,791,0,4,Beetle,None,88.1,30-40,20-30,20-30,20-30,20-30,200-200,100-100,500-500,300-300,100-100,500-500,100-100,100-100,80-80,0-0,0-0,0-0,0-0,0-0,0-0,29.1,true,,,true,,,7-20,1-5,,,,,,,
giant black widow,,157,0,4,Arachnid-Spider,Reptile,70.6,20-30,10-20,10-20,50-60,10-20,45-60,95-115,35-60,75-100,95-115,35-60,70-85,65-80,45-60,30-75,60-80,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
giant ice serpent,,89,0,4,Reptile-Snake-Ice,Arachnid,53.1,30-35,0-0,80-90,15-25,10-20,130-150,25-50,0-0,215-245,25-50,65-85,60-80,75-80,25-40,25-50,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
giant ice worm,,89,0,4,Reptile-Snake-Ice,Arachnid,75,30-35,0-0,80-90,15-25,10-20,130-150,75-100,0-0,215-245,75-100,65-85,60-80,75-80,45-60,0-0,75-95,0-0,0-0,0-0,0-0,71.1,,,,,,1002122,7-17,1-2,,,,,,,
giant rat,,215,0,4,Vermin,None,25.8,15-20,5-10,0-0,25-35,0-0,25-40,45-65,0-0,30-75,45-65,15-30,25-45,25-45,25-30,0-0,0-0,0-0,0-0,0-0,0-0,29.1,,,,,,,4-8,1-3,,,,,,,
giant serpent,,21,SnakeHue,4,Reptile-Snake,Arachnid,71,30-35,5-10,10-20,70-90,10-20,110-130,55-80,0-0,185-215,55-80,65-85,60-80,65-70,25-40,0-0,70-100,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
giant spider,,28,0,4,Arachnid-Spider,Reptile,57.5,15-20,0-0,0-0,25-35,0-0,45-60,75-95,0-0,75-100,75-95,35-60,50-65,35-50,25-40,0-0,60-80,0-0,0-0,0-0,0-0,59.1,,,,,,1002122,5-13,1-3,,,,,,,
giant tentacle,,1245,0,4,None,None,Immune,30-45,10-25,15-25,60-70,0-10,100-120,75-85,110-140,145-155,75-85,110-140,50-70,0-0,100-120,0-0,0-0,0-0,60-80,60-80,0-0,,,,,,,,,,,,,,,,
giant toad,,80,0-191-1166,4,None,None,27.3,20-25,5-10,0-0,0-0,5-10,45-60,5-25,0-0,75-100,5-25,10-20,40-60,40-60,25-40,0-0,0-0,0-0,0-0,0-0,0-0,77.1,,,,,,,5-17,1-3,,,,,,,
giant turkey,,1026,0,4,None,None,120,55-70,70-90,35-45,45-55,45-55,25000-25000,160-270,1000-1000,1200-1390,170-270,430-570,100-120,100-115,85-100,70-80,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
gibberling,,307,0,4,Demon,Elemental-Fey,58.7,45-55,25-35,25-35,10-20,30-40,85-100,100-125,55-80,140-165,100-125,55-80,60-80,65-95,45-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
gnaw,,23,304,4,Wolf,None,109.1,60-60,50-50,25-30,25-30,20-25,790-795,145-145,60-60,165-170,145-145,60-60,115-120,105-110,110-115,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
goat,,209,0,4,None,None,5.4,5-15,0-0,0-0,0-0,0-0,10-15,15-15,0-0,15-20,15-15,5-5,5-5,5-5,5-5,0-0,0-0,0-0,0-0,0-0,0-0,11.1,,,,,,,3-4,1-3,,true,,,,,
golden elemental,,166,0,4,Elemental-Earth Elemental,Demon,73.9,60-75,10-20,30-40,30-40,30-40,135-155,125-145,70-95,225-255,125-145,70-95,60-100,60-100,50-95,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
golem,,752,0-2101,4,None,None,78.4,35-55,100-100,10-30,10-25,30-40,150-210,75-100,100-150,250-350,75-100,100-150,60-100,60-100,150-190,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
gore fiend,,305,0,4,Undead,Repond,48.8,35-45,25-35,15-25,5-15,30-40,95-115,40-65,45-70,160-185,40-65,45-70,50-70,45-70,40-55,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
gorilla,,29,0,4,None,None,31.1,20-25,5-10,10-15,0-0,0-0,35-55,35-55,0-0,50-95,35-55,35-60,40-60,40-60,45-60,0-0,0-0,0-0,0-0,0-0,0-0,-18.9,,,,,,,4-10,1-3,,true,,,,,
gray goblin,,723,1900,4,Repond-Goblin,Undead,80,40-50,30-40,25-35,10-20,10-20,170-210,60-80,100-150,260-335,60-80,100-150,90-110,80-90,120-130,80-90,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
gray goblin keeper,,723,1900,4,Repond-Goblin,Undead,80,40-50,30-40,25-35,10-20,10-20,175-185,60-80,100-140,300-330,60-80,100-140,95-105,80-85,120-130,80-90,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
gray goblin mage,,723,1900,4,Repond-Goblin,Undead,80,20-30,35-45,30-40,35-45,10-20,140-160,80-95,460-500,230-250,80-95,460-500,90-100,80-90,140-150,80-90,0-0,0-0,100-110,90-100,95-100,,,,,,,,,,,,,,,,
gray goblin mage renowned,,723,1900,4,Repond-Goblin,Undead,145,30-40,45-55,40-50,45-55,20-30,1065-1130,75-90,550-600,545-555,75-90,550-600,95-105,95-105,140-150,90-100,0-0,0-0,100-115,100-115,100-110,,,,true,,,,,,,,,,,,
great hart,,234,0,4,None,None,27.3,20-25,0-0,5-10,0-0,0-0,25-45,45-80,0-0,40-75,45-80,25-60,25-50,25-50,25-45,0-0,0-0,0-0,0-0,0-0,0-0,59.1,,,,,,,5-9,1-3,,true,,,,,
greater dragon,,12-59,0,4,Reptile-Dragon,Arachnid,160,60-85,65-90,40-55,40-60,50-75,1000-2000,80-144,475-675,1024-1400,80-144,475-675,115-145,110-140,110-140,0-0,0-0,0-0,110-140,40-70,0-0,104.7,true,,,,,1075829-1157414-1002106,24-33,4-5,7149,,true,,,,
greater earth elemental,,14,1143,4,Elemental-Earth Elemental,Demon,70,50-65,35-45,30-40,45-55,25-35,520-580,75-95,90-110,130-160,75-95,90-110,80-90,75-90,45-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
greater mongbat,,39,0,4,Bat,None,31.3,15-25,0-0,0-0,0-0,0-0,30-50,60-80,25-50,55-80,60-80,25-50,20-35,35-50,15-30,0-0,0-0,0-0,0-0,0-0,0-0,71.1,,,,,,,5-7,1-3,,,,,,,
greater phoenix,,832,0,4,Bird-Eodon,None,80,40-50,70-80,20-30,40-55,35-45,340-385,200-300,500-700,500-700,200-300,500-700,90-100,80-90,85-135,0-0,0-0,0-0,90-100,95-100,75-100,,,,,,,,,,,,,,,,
greater poison elemental,,162,667,4,Elemental-Poison Elemental,Demon,145.8,60-70,20-30,20-30,100-100,40-50,650-670,320-340,580-630,660-680,320-340,580-630,75-90,80-100,85-115,0-0,100-115,0-0,100-105,105-120,100-110,,,,,,,,,,,,,,,,
green goblin,,723,0,4,Repond-Goblin,Undead,80,40-50,30-40,25-35,10-20,10-20,165-210,60-80,100-140,265-340,60-80,100-140,90-105,80-90,120-130,80-90,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
green goblin alchemist,,723,0,4,Repond-Goblin,Undead,80,40-50,45-55,30-40,35-45,10-20,170-200,60-80,110-140,285-320,60-80,110-140,100-110,80-90,120-130,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
green goblin alchemist renowned,,723,1900,4,Repond-Goblin,Undead,125,50-60,55-65,40-50,45-55,20-30,1180-1250,60-75,120-140,580-610,60-75,120-140,105-110,95-105,120-130,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
green goblin scout,,723,0,4,Repond-Goblin,Undead,80,40-50,30-40,25-35,10-20,10-20,175-200,65-80,120-130,270-300,65-80,120-130,105-120,85-90,90-100,85-90,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
gremlin,,724,0,4,Repond,Undead,72.3,25-35,30-40,15-25,15-20,25-30,55-70,100-130,40-60,95-115,100-130,40-60,60-90,55-75,55-75,65-85,70-90,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
grey wolf,,25-27,0,4,Wolf,None,30.2,15-20,10-15,20-25,10-15,10-15,30-50,55-75,0-0,55-80,55-75,30-55,45-60,45-60,20-35,0-0,0-0,0-0,0-0,0-0,0-0,53.1,,,,,,,3-7,1-3,,true,,,,,
grim,,60-61,1744,4,Reptile-Dragon,Arachnid,160,55-60,60-70,50-60,30-40,40-50,2050-2100,285-300,285-300,550-580,285-300,285-300,110-120,100-110,100-115,110-120,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
grimmoch drummel,,400,34198,7,None,None,75.3,35-45,25-30,45-55,30-40,20-25,180-210,150-160,0-0,110-120,150-160,40-50,0-0,90-100,60-70,90-100,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
grizzly bear,,212,0,4,Bear,None,47.4,25-35,0-0,15-25,5-10,5-10,75-95,80-105,0-0,125-155,80-105,15-40,45-70,70-100,25-40,0-0,0-0,0-0,0-0,0-0,0-0,59.1,,,,,,,8-13,1-3,,true,,,,,
grobu,,211,1109,4,Bear,None,118.1,40-45,20-40,30-35,25-30,20-40,1235-1310,125-210,0-0,180-210,125-150,45-55,95-120,95-120,60-85,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
grubber,,270,0,4,None,None,83.8,1-1,0-0,0-0,0-0,0-0,200-200,500-500,0-0,15-15,2000-2000,1000-1000,5-5,5-5,200-200,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
guile,,264,63,4,None,None,144.4,85-85,45-50,40-45,40-45,45-50,1045-1050,260-260,490-495,65-70,260-260,490-495,10-15,15-20,150-155,0-0,0-0,0-0,105-110,115-120,115-120,,,,,,,,,,,,,,,,
harpy,,30,0,4,None,None,56.4,25-30,10-20,10-30,20-30,10-20,55-75,85-110,50-75,95-120,85-110,50-75,60-90,70-100,50-65,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
headless miner,,31,HeadlessSkinHue,4,None,None,20.0,15-20,0-0,0-0,0-0,0-0,15-30,35-55,15-30,25-50,35-55,15-30,25-40,25-40,15-20,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
headless one,,31,HeadlessSkinHue,4,None,None,23.8,15-20,0-0,0-0,0-0,0-0,15-30,35-55,15-30,25-50,35-55,15-30,25-40,25-40,15-20,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
hell hound,,97-98,0,4,Flame-Wolf,None,62.8,25-35,30-40,0-0,10-20,10-20,66-125,81-105,36-60,102-150,81-105,36-60,60-80,50-70,55-75,0-0,0-0,0-0,0-0,0-0,0-0,85.4,,,,,,1157414,11-17,1-4,,,,true,,,
hellcat,,201,1607-1616-1625-1634-1643-1652,4,Flame,None,50.2,25-35,80-90,0-0,0-0,15-20,48-67,52-150,13-85,51-100,52-150,13-85,30-40,40-55,45-60,0-0,0-0,0-0,0-0,0-0,0-0,71.1,,,,,,1157414,6-12,1-3,,,,true,,,
hellsteed,,793,0,7,Undead,Repond,78.4,60-70,90-90,0-0,100-100,0-0,200-220,100-110,100-115,200-210,100-110,100-115,90-110,50-50,90-110,0-0,0-0,0-0,0-0,0-0,0-0,,,,,true,,,,,,,,,,,
high plains boura,,715,0,4,Bovine,None,93.7,55-65,30-40,50-60,40-50,30-40,574-675,85-103,25-30,370-532,85-103,25-30,95-110,95-105,65-75,95-105,0-0,0-0,0-0,0-0,0-0,47.1,,,,,,1157428,20-24,2-5,4254,,,,,,
hind,,237,0,4,None,None,18.2,5-15,0-0,5-5,0-0,0-0,15-30,45-80,0-0,20-55,45-80,15-50,25-30,15-20,15-15,0-0,0-0,0-0,0-0,0-0,0-0,23.1,,,,,,,4-4,1-3,,true,,,,,
hiryu,,243,0-33770-32818-33919-33933-33941-33927-33922-33059-32829-32828-32823-33936-34140,4,Reptile-Dragon,Arachnid,115.3,55-70,70-90,15-25,40-50,40-50,900-1100,170-270,60-60,1200-1410,170-270,300-325,100-120,100-110,85-100,75-80,0-0,0-0,0-0,0-0,0-0,98.7,true,,,true,,1028843-1157400,20-30,3-5,,,,,,,
horde minion,,776,0,4,Demon,Elemental-Fey,27.3,15-20,5-10,0-0,0-0,0-0,10-25,30-60,10-25,15-40,30-60,10-25,25-40,0-15,10-10,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
horde minion (summoned),,776,0,,None,None,Immune,50-60,50-60,0-0,25-30,25-30,70-70,110-110,100-100,100-100,110-110,100-100,70-80,50-50,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
horse,,200-204-226-228-1408,0,4,None,None,26.5,15-20,0-0,0-0,0-0,0-0,25-45,55-75,0-0,20-100,55-75,5-10,25-45,25-45,25-30,0-0,0-0,0-0,0-0,0-0,0-0,29.1,,,,true,,,3-4,1-3,,true,,,,,
hungry ogre,,1,0,4,Repond-Ogre,Undead,110.0,50-60,70-80,50-60,70-80,60-70,1000-1200,60-90,40-80,150-250,60-90,40-80,100-120,100-120,50-90,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
hydra,,265,0,4,Reptile-Dragon,Arachnid,138.3,70-75,75-80,25-30,40-45,35-40,1490-1495,105-110,110-115,810-815,105-110,110-115,110-110,105-110,85-90,75-80,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ice elemental,,161,0,4,Elemental-Snow Elemental-Ice,Demon,76.9,35-45,5-10,50-60,20-30,20-30,90-115,95-115,170-195,155-185,95-115,170-195,60-100,70-100,30-80,0-0,0-0,0-0,10-60,35-60,0-0,,,,,,,,,,,,,,,,
ice fiend,,43,0,4,Demon-Ice,Elemental-Fey,89.3,55-65,10-20,60-70,20-30,30-40,225-245,175-195,200-225,375-405,175-195,200-225,80-100,80-90,75-85,0-0,0-0,0-0,80-90,85-90,0-0,,,,,,,,,,,,,,,,
ice snake,,52,1152,4,Reptile-Snake-Ice,Arachnid,20.6,20-25,-10-0,80-90,60-70,30-40,25-35,35-45,0-0,40-55,35-45,25-30,35-55,35-55,15-20,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ilhenir the stained,,259,0,4,None,None,160.0,55-60,50-55,60-65,90-90,70-75,9000-9000,0-0,605-605,1190-1195,0-0,605-605,110-115,110-115,120-120,110-115,0-0,0-0,100-100,100-100,100-100,,,,true,,,,,,,,,,,,
imp,,74,0,4,Demon,Elemental-Fey,70,25-35,40-50,20-30,30-40,30-40,55-70,60-80,85-110,90-115,60-80,85-110,40-45,40-50,30-50,0-0,0-0,0-0,90-100,25-30,0-0,83.1,,,,,,1002106,10-14,3-4,,,true,,,,
imp (summoned),,74,0,,Daemon,None,39.3,25-35,40-50,20-30,30-40,30-40,10-10,150-150,15-15,20-20,40-40,15-15,40-45,40-50,30-50,0-0,0-0,0-0,20-20,20-30,0-0,,,,,,,,,,,,,,,,
impaler,IsImpaler,306,0,4,Demon,Elemental-Fey,160,90-90,60-60,75-75,60-60,100-100,5000-5000,45-45,190-190,190-190,45-45,190-190,80-80,100-100,100-100,0-0,160-160,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
infernus,,159,1955,4,Elemental-Eodon,Demon,60,45-55,80-90,25-35,40-50,35-45,50-65,170-195,75-100,95-120,170-195,75-100,80-80,70-70,150-150,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
insane dryad,,266,0,4,Fey,Demon,103,45-50,15-20,40-45,35-40,25-30,315-320,155-160,285-290,135-140,155-160,285-290,70-75,70-75,110-115,0-0,0-0,0-0,70-75,75-75,85-85,,,,,,,,,,,,,,,,
interred grizzle,,259,0,4,None,None,98.1,50-55,55-65,55-60,30-35,60-70,465-490,100-110,55-65,465-490,100-110,55-65,100-105,100-110,80-90,0-0,0-0,0-0,85-90,70-80,80-85,,,,,,,,,,,,,,,,
irk,,264,1161,4,None,None,147.5,80-85,45-50,45-50,40-40,45-45,1020-1060,345-350,555-555,165-165,345-350,555-555,100-125,100-125,140-155,0-0,0-0,0-0,110-120,105-120,110-115,,,,,,,,,,,,,,,,
iron beetle,,714-2413-2419,0,4,Beetle,None,105.7,55-60,20-30,20-30,30-40,45-55,764-880,66-74,36-50,760-890,66-74,63-50,90-110,80-100,120-130,80-90,0-0,0-0,0-0,0-0,0-0,71.1,true,,,,,,15-20,2-5,,,,,,,
jack rabbit,,205,0-2301-2310,4,None,None,5.9,0-5,0-0,0-0,0-0,0-0,5-10,25-25,0-0,15-15,25-25,5-5,5-5,5-5,5-5,0-0,0-0,0-0,0-0,0-0,0-0,-18.9,,,,,,,1-2,1-2,,true,,,,,
juka lord,,766,0,7,Reptile,Arachnid,89,40-50,45-50,40-50,20-25,40-50,240-300,80-100,150-200,400-500,80-100,150-200,90-100,95-100,120-130,90-100,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
juka mage,,765,0,7,Reptile-Mage,Arachnid,96.3,20-30,35-45,30-40,10-20,35-45,120-180,70-90,450-500,200-300,70-90,450-500,80-90,80-90,140-150,80-90,0-0,0-0,80-100,90-100,0-0,,,,,,,,,,,,,,,,
juka warrior,,764,0,7,Reptile,Arachnid,85.6,40-50,30-40,25-35,10-20,10-20,150-210,60-80,100-150,250-350,60-80,100-150,80-90,80-90,120-130,80-90,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
juo'nar the lich,,78,2951,7,None,None,160,20-30,20-30,20-30,20-30,20-30,9500-10000,100-125,5000-5500,500-560,100-125,1000-1200,120-120,100-100,150-150,0-0,0-0,0-0,100-100,100-100,120-120,,,,true,,,,,,,,,,,,
jwilson,,51,2204-2210-2216-2222,4,None,None,32.5,5-10,0-0,0-0,10-20,0-0,15-20,15-25,15-20,20-35,15-25,15-20,15-35,15-35,15-20,0-0,30-50,0-0,0-0,0-0,0-0,23.1,,,,,,1002122,1-5,1-2,,,,,,,
kappa,,240,0,4,None,None,63.6,35-50,35-50,25-35,35-50,20-30,150-180,50-70,30-30,195-225,50-70,40-55,60-65,80-90,60-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
